Date,Time,Latitude,Longitude,Type,Depth,Magnitude
12/21/1982,0:51:31,-23.589,-175.048,Earthquake,33,5.5
1/7/1983,6:23:12,-15.296,-177.9,Earthquake,48,5.8
1/22/1983,1:27:44,-6.672,103.027,Earthquake,40,6
2/4/1983,6:31:16,1.493,127.294,Earthquake,144,5.5
2/22/1983,9:36:47,16.356,-95.011,Earthquake,37,5.7
3/15/1983,11:27:43,-8.172,-79.997,Earthquake,33,5.5
3/30/1983,0:49:08,1.682,122.55,Earthquake,22.8,5.5
4/12/1983,12:07:55,-4.843,-78.103,Earthquake,104.2,7
4/27/1983,17:20:35,-21.137,-174.272,Earthquake,21,5.6
5/10/1983,11:02:36,-5.399,150.896,Earthquake,112.4,6.5
5/29/1983,22:01:50,40.696,139.367,Earthquake,36.4,5.6
6/18/1983,19:31:10,-8.228,156.357,Earthquake,9.3,5.5
7/2/1983,9:34:05,5.747,94.715,Earthquake,92.6,5.7
7/15/1983,10:45:39,5.488,126.502,Earthquake,49.4,5.7
8/5/1983,0:33:45,52.934,159.734,Earthquake,33,5.5
8/21/1983,8:34:46,3.742,126.617,Earthquake,45.8,5.9
9/9/1983,16:30:55,19.332,-155.122,Earthquake,9,5.5
9/27/1983,23:59:38,36.688,26.912,Earthquake,158.6,5.5
10/13/1983,12:22:15,24.457,-46.279,Earthquake,10,5.5
10/28/1983,14:06:07,44.058,-113.857,Earthquake,10,6.9
11/16/1983,16:13:00,19.43,-155.45,Earthquake,11,6.6
11/30/1983,2:56:47,41.79,142.772,Earthquake,56.9,6
12/15/1983,4:22:33,-33.099,-70.12,Earthquake,100.1,6.2
12/26/1983,4:37:05,-7.366,128.47,Earthquake,144.7,5.6
1/11/1984,18:40:30,-6.239,27.861,Earthquake,10,5.6
1/26/1984,17:54:09,-57.935,-25.087,Earthquake,33,5.5
2/16/1984,17:18:42,36.431,70.826,Earthquake,207.6,6.4
3/5/1984,3:33:51,8.147,123.762,Earthquake,649.1,7.3
3/20/1984,17:19:06,10.782,-42.261,Earthquake,10,5.5
4/2/1984,13:49:32,44.673,149.638,Earthquake,41.1,5.6
4/23/1984,21:26:39,36.431,70.75,Earthquake,208.5,5.5
5/4/1984,0:24:21,-55.514,146.555,Earthquake,10,5.6
5/21/1984,15:37:50,32.621,121.621,Earthquake,17.5,5.5
6/3/1984,1:44:15,-45.258,-75.711,Earthquake,33,5.5
6/22/1984,1:04:22,0.715,-30.41,Earthquake,10,5.6
7/4/1984,13:53:12,-12.924,166.621,Earthquake,126.3,5.6
7/23/1984,4:58:26,-30.421,-179.58,Earthquake,341.1,5.5
8/14/1984,1:02:08,61.84,-149.05,Earthquake,19,5.8
8/30/1984,12:28:40,54.113,-133.639,Earthquake,10,5.9
9/16/1984,22:26:39,-24.778,-175.766,Earthquake,33,5.5
9/22/1984,21:44:17,-32.04,-178.405,Earthquake,44.1,6.1
10/10/1984,19:05:58,-20.147,-179.271,Earthquake,675.6,5.6
10/22/1984,15:26:55,-31.572,-177.724,Earthquake,33,5.5
11/6/1984,7:58:51,-18.876,67.352,Earthquake,10,5.9
11/17/1984,13:45:49,-18.785,-178.032,Earthquake,451.4,6.7
11/23/1984,21:29:27,11.987,126.51,Earthquake,29.8,5.5
12/10/1984,10:22:05,-14.838,-75.226,Earthquake,53.2,5.7
12/29/1984,1:07:01,24.795,122.04,Earthquake,85.6,5.6
1/9/1985,1:32:39,-20.754,-179.085,Earthquake,662.2,5.5
1/26/1985,3:06:58,-33.053,-68.467,Earthquake,5,6.2
2/21/1985,18:53:11,-33.205,-71.768,Earthquake,55.9,5.7
3/4/1985,0:27:46,-33.141,-71.627,Earthquake,29,5.5
3/9/1985,14:08:04,66.239,-150.029,Earthquake,11.8,6.2
3/19/1985,4:01:08,-33.198,-71.653,Earthquake,42.2,6.7
4/3/1985,20:21:36,28.23,139.525,Earthquake,468.7,6.5
4/20/1985,18:23:48,9.004,-77.46,Earthquake,37.7,6.3
5/1/1985,13:27:56,-9.196,-71.23,Earthquake,599.9,6.6
5/15/1985,2:52:32,-51.792,28.263,Earthquake,10,5.7
6/2/1985,16:26:58,-37.728,-73.653,Earthquake,33,5.9
6/16/1985,11:43:15,-56.345,146.998,Earthquake,10,5.5
7/3/1985,4:36:52,-4.439,152.828,Earthquake,33,7.3
7/19/1985,14:34:01,-38.778,176.973,Earthquake,51.9,6
8/6/1985,0:14:36,-20.083,-178.318,Earthquake,607.4,5.6
8/15/1985,22:11:56,-15.437,67.244,Earthquake,10,5.6
9/5/1985,18:30:23,25.405,97.696,Earthquake,33,5.5
9/19/1985,0:21:57,-49.426,-8.049,Earthquake,10,5.5
10/4/1985,8:41:38,27.558,139.964,Earthquake,478.1,6.1
10/25/1985,18:12:20,-7.077,124.284,Earthquake,595.5,6
11/10/1985,12:39:51,4.203,-32.477,Earthquake,10,5.9
11/28/1985,2:41:07,-13.814,166.39,Earthquake,33,5.5
12/17/1985,0:13:20,-36.003,53.512,Earthquake,10,5.8
12/28/1985,15:41:04,-13.192,166.507,Earthquake,36,6.3
1/16/1986,5:08:32,5.936,126.074,Earthquake,83.3,5.8
2/10/1986,9:51:13,-21.585,170.404,Earthquake,100.7,5.5
3/1/1986,16:41:41,-6.3,130.949,Earthquake,79.5,5.6
3/21/1986,21:35:36,-7.455,120.646,Earthquake,613.9,5.5
3/30/1986,8:53:53,-26.194,132.767,Earthquake,10,5.7
4/23/1986,9:11:53,30.563,141.971,Earthquake,13.6,5.9
5/7/1986,20:43:31,51.384,-174.809,Earthquake,22.1,6.3
5/10/1986,9:53:01,8.502,-103.058,Earthquake,10,5.6
5/22/1986,19:52:22,34.63,26.528,Earthquake,43,5.5
6/5/1986,9:01:15,-36.351,-97.382,Earthquake,10,5.8
6/19/1986,18:12:28,7.799,94.517,Earthquake,164,5.9
7/1/1986,0:49:07,-15.564,-172.452,Earthquake,33,6.1
